fireplaces,garage_spaces,category_code,market_value,bathrooms,bedrooms,stories,sale_date,sale_price,total_area,total_livable_area,latitude,longitude
0.0,0.0,1.0,41700.0,1.0,4.0,3.0,2017-04-13,60000.0,1109.69,1638.0,39.9915750421416,-75.12899442118979
0.0,0.0,1.0,16900.0,1.0,4.0,3.0,2016-01-16,23000.0,1109.69,1638.0,39.9917021750829,-75.1289784805053
0.0,0.0,1.0,41700.0,1.0,4.0,3.0,2008-07-02,23500.0,1109.69,1638.0,39.9917443141277,-75.1289707016907
0.0,0.0,1.0,23900.0,1.0,3.0,2.0,2018-08-25,26000.0,643.5,890.0,39.9925915853553,-75.128742671935
0.0,0.0,1.0,23900.0,1.0,3.0,2.0,2010-07-06,38000.0,643.5,890.0,39.992837967324704,-75.1286892927656
0.0,0.0,1.0,22100.0,1.0,3.0,2.0,2004-06-15,30000.0,1036.0,1204.0,39.994047355423,-75.1280146098837
0.0,0.0,1.0,22100.0,1.0,3.0,2.0,2006-09-21,50000.0,1036.0,1204.0,39.9943911885184,-75.12794032641071
0.0,0.0,1.0,40700.0,1.0,3.0,2.0,1981-07-16,32700.0,1048.0,1344.0,39.9994677284061,-75.1272970456052
0.0,0.0,1.0,40700.0,1.0,3.0,2.0,2019-06-05,355000.0,1048.0,1344.0,39.999452784281296,-75.1268807537477
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2008-11-13,27000.0,1102.5,1502.0,40.0001418099698,-75.1267289164427
0.0,0.0,1.0,22700.0,1.0,3.0,2.0,2014-05-02,1566537.0,1160.96,1502.0,40.000185196135895,-75.1267192148975
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2019-07-18,38000.0,1102.5,1502.0,40.0004839883032,-75.12665310088892
0.0,0.0,1.0,39500.0,1.0,3.0,2.0,2001-09-05,39000.0,1102.5,1502.0,40.000655657745796,-75.1266175206019
0.0,0.0,1.0,21700.0,1.0,3.0,2.0,2014-06-26,50050.0,727.5,840.0,39.9958550995907,-75.1280397578052
0.0,0.0,1.0,21700.0,1.0,3.0,2.0,2018-01-25,25000.0,727.5,840.0,39.996140406843,-75.1279771220791
0.0,0.0,1.0,21700.0,1.0,3.0,2.0,2001-10-13,29000.0,727.5,840.0,39.9962639131255,-75.1279499817763
0.0,0.0,1.0,36700.0,1.0,3.0,2.0,2018-07-24,60000.0,980.0,1120.0,39.9879581499959,-75.1297677274267
0.0,0.0,1.0,63400.0,1.0,3.0,2.0,2016-12-22,73000.0,798.0,1120.0,39.9887711217049,-75.12918041646859
0.0,0.0,1.0,39700.0,1.0,3.0,2.0,2019-05-29,39000.0,980.0,1400.0,39.9886823063398,-75.1296170929186
0.0,0.0,1.0,42300.0,1.0,3.0,2.0,2004-07-30,30000.0,1120.0,1524.0,40.0023725168026,-75.12668343084009
0.0,0.0,1.0,24200.0,1.0,3.0,2.0,2016-08-19,29900.0,1120.0,1524.0,40.002588247319395,-75.12663885974149
0.0,0.0,1.0,42300.0,1.0,3.0,2.0,2017-10-05,51000.0,1120.0,1524.0,40.0024868720015,-75.1262261114951
0.0,0.0,1.0,40800.0,1.0,2.0,2.0,2019-04-24,52000.0,980.0,1284.0,40.00315562197429,-75.12607891772299
0.0,0.0,1.0,36000.0,1.0,2.0,2.0,2019-07-12,47000.0,980.0,896.0,40.0031970319833,-75.1260685781809
0.0,0.0,1.0,36000.0,1.0,2.0,2.0,2003-03-28,30000.0,980.0,896.0,40.003231898843296,-75.1260615939735
0.0,0.0,1.0,102300.0,1.0,4.0,2.0,2007-10-09,94750.0,1743.3,1792.0,40.025057752419,-75.16323659477621
0.0,0.0,1.0,107400.0,1.0,4.0,2.0,2006-07-26,146900.0,1963.67,1814.0,40.0243284147113,-75.1634366011699
0.0,0.0,1.0,121400.0,1.0,4.0,2.0,2015-09-10,54366.0,1746.9,1792.0,40.0246029895096,-75.16381380252159
0.0,0.0,1.0,103600.0,1.0,4.0,2.0,2006-01-10,160000.0,1899.26,1814.0,40.0242150249557,-75.16358518313349
0.0,0.0,1.0,102400.0,1.0,4.0,2.0,2019-04-18,115000.0,1750.5,1792.0,40.02444959623921,-75.1640082059219
0.0,0.0,1.0,62600.0,1.0,4.0,2.0,2018-06-26,75500.0,1746.9,1792.0,40.024221407951,-75.16429849754421
0.0,0.0,1.0,118400.0,1.0,4.0,2.0,2012-04-03,58900.0,2254.21,1962.0,40.0230799094495,-75.1657364333543
0.0,0.0,1.0,118400.0,1.0,4.0,2.0,2007-10-26,75000.0,1762.89,1962.0,40.0227540425965,-75.16543200937329
0.0,0.0,1.0,118400.0,1.0,4.0,2.0,1976-03-03,21605.0,2254.21,1962.0,40.0228730900575,-75.16596005938341
0.0,0.0,1.0,111500.0,1.0,4.0,2.0,2005-05-02,65000.0,2254.21,1962.0,40.022830103568296,-75.1660033423479
0.0,0.0,1.0,118400.0,1.0,4.0,0.0,2012-08-15,55000.0,1760.23,1962.0,40.022504654190996,-75.1657133137549
1.0,1.0,1.0,99400.0,1.0,3.0,2.0,2006-06-12,70000.0,3012.32,1040.0,40.0211151511276,-75.1695017155915
1.0,1.0,1.0,98900.0,1.0,3.0,2.0,1984-07-13,37000.0,2895.36,1040.0,40.0208004241209,-75.1698032969996
0.0,1.0,1.0,128700.0,1.0,3.0,2.0,2010-03-11,105000.0,1986.22,1318.0,40.020174801953296,-75.1702691836006
0.0,1.0,1.0,128700.0,1.0,3.0,2.0,2014-12-12,75000.0,1869.17,1318.0,40.0201418247035,-75.1703090405698
0.0,0.0,1.0,62200.0,1.0,3.0,2.0,2005-03-29,45000.0,944.0,1152.0,40.01997649461661,-75.1229267010667
0.0,0.0,1.0,57900.0,1.0,3.0,2.0,2017-07-10,85000.0,1750.0,1312.0,40.0199434230669,-75.122451650107
0.0,0.0,1.0,57900.0,1.0,3.0,2.0,2019-06-27,65000.0,1750.0,1312.0,40.020000087160895,-75.1224387488144
0.0,0.0,1.0,61000.0,1.0,3.0,2.0,2011-12-22,47000.0,807.11,1126.0,40.0201515848301,-75.12285723023709
0.0,0.0,1.0,61000.0,1.0,3.0,2.0,2017-02-06,66500.0,809.69,1126.0,40.0202023369751,-75.122846046405
0.0,0.0,1.0,60700.0,1.0,3.0,2.0,2015-10-26,33500.0,1750.0,1440.0,40.020273326407796,-75.1223782359515
0.0,0.0,1.0,68200.0,1.0,3.0,2.0,2014-09-16,24000.0,1200.0,1410.0,40.020881757757294,-75.1227674333378
0.0,0.0,1.0,63300.0,1.0,3.0,2.0,2006-09-26,35000.0,1152.75,1364.0,40.0222450170481,-75.1219635534908
0.0,0.0,1.0,111200.0,1.0,4.0,2.0,2018-03-21,150000.0,2200.0,2048.0,40.0226774248251,-75.1218153494733
0.0,2.0,1.0,56500.0,3.0,3.0,2.0,2019-03-20,68500.0,1761.3,1350.0,40.0236725346905,-75.1216257780664
0.0,1.0,1.0,106200.0,1.0,3.0,2.0,2008-10-07,107500.0,1388.05,1104.0,40.0398429149036,-75.11848856922809
0.0,1.0,1.0,63300.0,1.0,3.0,2.0,2013-10-02,68000.0,1388.05,1104.0,40.0400626478304,-75.1189363003268
0.0,1.0,1.0,106200.0,1.0,3.0,2.0,2006-10-04,112000.0,1373.6,1104.0,40.0402421734866,-75.1184027134202
0.0,1.0,1.0,110800.0,1.0,3.0,2.0,2010-08-06,76000.0,1943.62,1224.0,40.0421282839974,-75.11826905491921
