fireplaces,garage_spaces,category_code,market_value,bathrooms,bedrooms,stories,sale_date,sale_price,total_area,total_livable_area,latitude,longitude
0.0,0.0,1.0,390000.0,1.0,1.0,0.0,2017-01-13,590000.0,0.0,1104.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,220000.0,1.0,1.0,0.0,2018-10-26,245000.0,0.0,420.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,350000.0,1.0,1.0,0.0,2019-07-18,375000.0,0.0,917.0,39.944054228219,-75.1842813013582
0.0,0.0,1.0,394300.0,1.0,2.0,2.0,2018-04-19,347000.0,520.0,800.0,39.9453593868092,-75.1691414330783
0.0,1.0,1.0,1080700.0,2.0,3.0,3.0,2017-06-23,1080000.0,1365.0,2407.0,39.9456237209102,-75.17071180953691
1.0,0.0,1.0,299100.0,1.0,2.0,3.0,2018-06-05,395000.0,428.7,630.0,39.946102871831705,-75.1750722072737
1.0,0.0,1.0,691900.0,2.0,3.0,2.0,2017-04-24,725000.0,804.86,1440.0,39.9461856541447,-75.1756948871465
0.0,0.0,1.0,650000.0,2.0,3.0,0.0,2017-07-20,694000.0,0.0,2130.0,39.9443777642384,-75.1832258719587
0.0,0.0,1.0,650000.0,2.0,3.0,0.0,2017-02-16,615000.0,0.0,2130.0,39.944678594158894,-75.1838306855196
0.0,0.0,1.0,438500.0,2.0,2.0,0.0,2019-01-25,453000.0,0.0,1253.0,39.9440658057715,-75.184878581884
0.0,0.0,1.0,420000.0,2.0,2.0,0.0,2017-11-17,480000.0,0.0,1175.0,39.9440658057715,-75.184878581884
0.0,0.0,1.0,420000.0,2.0,2.0,0.0,2017-08-23,479900.0,0.0,1175.0,39.9440658057715,-75.184878581884
0.0,0.0,1.0,346000.0,1.0,1.0,0.0,2017-08-21,355000.0,0.0,882.0,39.9440658057715,-75.184878581884
0.0,1.0,1.0,640500.0,2.0,2.0,2.0,2018-06-15,800000.0,0.0,2060.0,39.944399002242605,-75.18447750031208
0.0,1.0,1.0,505000.0,2.0,2.0,0.0,2019-01-14,607000.0,0.0,1439.0,39.944399002242605,-75.18447750031208
0.0,0.0,1.0,194000.0,1.0,3.0,2.0,2017-02-13,192500.0,756.0,840.0,39.920176891808794,-75.16429220855
0.0,0.0,1.0,152900.0,1.0,3.0,2.0,2018-03-19,155000.0,714.0,968.0,39.9194665758109,-75.164165338718
0.0,0.0,1.0,152900.0,1.0,3.0,2.0,2018-08-15,157000.0,714.0,968.0,39.9187841348292,-75.1643158761851
0.0,0.0,1.0,197300.0,1.0,3.0,2.0,2017-06-15,205000.0,714.0,968.0,39.9187080802193,-75.16433286588351
0.0,0.0,1.0,187600.0,1.0,3.0,2.0,2017-09-08,155000.0,665.0,984.0,39.9182344643197,-75.1644148486354
0.0,0.0,1.0,91000.0,1.0,3.0,2.0,2018-11-13,260000.0,672.0,1024.0,39.917849886350396,-75.1648131233004
0.0,0.0,1.0,190700.0,1.0,3.0,2.0,2018-08-08,205000.0,672.0,1024.0,39.9175406767818,-75.1648790768266
0.0,0.0,1.0,189800.0,1.0,3.0,2.0,2018-09-20,145000.0,700.0,1039.0,39.916901299627206,-75.1650080533171
0.0,0.0,1.0,187600.0,1.0,3.0,2.0,2018-05-19,160000.0,700.0,1008.0,39.9168373331371,-75.1646988450638
0.0,0.0,1.0,239300.0,1.0,3.0,2.0,2018-05-15,187000.0,700.0,1008.0,39.9167515965566,-75.16504058017341
0.0,0.0,1.0,202000.0,1.0,3.0,2.0,2018-09-08,191300.0,725.0,1078.0,39.9164510574357,-75.16478248049229
0.0,0.0,1.0,256300.0,1.0,3.0,2.0,2017-04-14,309000.0,757.5,1116.0,39.9339129557082,-75.16124012947779
0.0,0.0,1.0,221400.0,1.0,2.0,2.0,2018-11-01,250000.0,585.0600000000002,756.0,39.9264798496141,-75.16301979675559
0.0,0.0,1.0,195500.0,1.0,3.0,2.0,2018-11-08,295000.0,658.0,992.0,39.925549771895106,-75.1628549661688
0.0,0.0,1.0,179000.0,1.0,3.0,2.0,2018-05-29,193000.0,658.0,1008.0,39.9250076342683,-75.16297612401891
0.0,0.0,1.0,179000.0,1.0,3.0,2.0,2019-06-17,240000.0,658.0,784.0,39.9249699348098,-75.1629841111483
0.0,0.0,1.0,185100.0,1.0,3.0,2.0,2018-02-09,130000.0,756.0,840.0,39.9205246157201,-75.1642190906257
0.0,1.0,1.0,303800.0,1.0,2.0,0.0,2018-08-24,240000.0,1308.68,1088.0,39.936965265577506,-75.1661168733315
0.0,0.0,1.0,52500.0,1.0,2.0,2.0,2017-02-14,131000.0,675.0,840.0,39.93784807288871,-75.1724111471423
0.0,0.0,1.0,104300.0,1.0,3.0,2.0,2018-02-27,150000.0,720.0,980.0,39.9378551892061,-75.1724657963398
0.0,1.0,1.0,506500.0,3.0,3.0,4.0,2017-01-25,530000.0,720.5,2014.0,39.9391080035008,-75.18248371596
0.0,1.0,1.0,435100.0,1.0,4.0,2.0,2019-01-22,419000.0,1820.94,1560.0,39.935851313799894,-75.1641247728776
0.0,0.0,1.0,228600.0,1.0,3.0,2.0,2017-06-16,222000.0,915.0,1176.0,39.9367379257334,-75.17131913555009
0.0,0.0,1.0,230300.0,1.0,3.0,2.0,2018-03-20,220000.0,915.0,1032.0,39.9370276288337,-75.1714167945242
0.0,0.0,1.0,133400.0,1.0,3.0,2.0,2018-02-26,240000.0,700.0,964.0,39.9374623341102,-75.17589579729741
0.0,0.0,1.0,130300.0,1.0,3.0,2.0,2018-05-14,145000.0,690.0,840.0,39.937705285833395,-75.176104594762
0.0,0.0,1.0,224900.0,1.0,2.0,3.0,2019-06-27,265000.0,280.53000000000003,585.0,39.940715720489294,-75.1466234138273
0.0,0.0,1.0,372100.0,1.0,2.0,2.0,2017-01-31,355000.0,566.4,1120.0,39.9407222893275,-75.1470054089097
0.0,0.0,1.0,170500.0,1.0,2.0,2.0,2017-08-29,165000.0,412.29,600.0,39.9319015909531,-75.14876702739691
0.0,0.0,1.0,218900.0,2.0,4.0,2.0,2018-06-22,145000.0,708.0,1488.0,39.918968344878394,-75.1514626106731
0.0,0.0,1.0,156100.0,1.0,3.0,2.0,2019-05-17,2899864.0,686.76,972.0,39.9178454502864,-75.1517112355351
0.0,0.0,1.0,156100.0,1.0,3.0,2.0,2019-05-17,2899864.0,686.76,972.0,39.9174593283036,-75.151788269493
0.0,0.0,1.0,135800.0,1.0,3.0,2.0,2019-06-12,70000.0,690.0600000000003,990.0,39.9168260347859,-75.1522390899937
0.0,0.0,1.0,143100.0,1.0,3.0,2.0,2017-10-10,120000.0,679.0,1160.0,39.916784815461895,-75.151928431363
0.0,0.0,1.0,373300.0,2.0,2.0,3.0,2018-04-17,402000.0,0.0,1135.0,39.9422252683261,-75.16007243574329
0.0,0.0,1.0,245000.0,1.0,2.0,2.0,2018-01-09,368550.0,1404.0,995.0,39.9421308769754,-75.1618144077373
0.0,0.0,1.0,328600.0,1.0,2.0,3.0,2018-11-19,340000.0,259.0,746.0,39.94311700403129,-75.1676221995058
0.0,0.0,1.0,66400.0,1.0,3.0,2.0,2018-07-24,60000.0,761.1,927.0,39.934209584428295,-75.1885705649187
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2019-07-16,120000.0,708.0,956.0,39.934093873511706,-75.18829473828909
0.0,0.0,1.0,431400.0,2.0,3.0,3.0,2019-02-28,435000.0,560.0,1176.0,39.9430967518953,-75.16923180711241
0.0,0.0,1.0,63400.0,1.0,3.0,2.0,2018-10-31,80000.0,761.1,956.0,39.9340173461543,-75.18861204326309
0.0,0.0,1.0,63400.0,1.0,2.0,0.0,2019-02-26,62000.0,761.1,956.0,39.9339394594432,-75.18862875078321
0.0,0.0,1.0,63400.0,1.0,3.0,2.0,2018-07-07,42000.0,761.1,956.0,39.9338607328243,-75.1886456526048
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2017-07-13,43000.0,708.0,956.0,39.9337445826859,-75.1883709697553
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2017-06-29,348500.0,708.0,956.0,39.933705981255,-75.1883796249923
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2017-05-23,60000.0,708.0,956.0,39.9336689535839,-75.18838721786679
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2019-08-06,115000.0,708.0,956.0,39.933631532121396,-75.1883952925666
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2017-08-11,40000.0,708.0,956.0,39.93359302199861,-75.1884036388584
0.0,0.0,1.0,62400.0,1.0,3.0,2.0,2019-06-13,94000.0,708.0,956.0,39.9332822555934,-75.1884710367408
0.0,0.0,1.0,61800.0,1.0,3.0,2.0,2019-06-27,90000.0,651.0,956.0,39.932601645775705,-75.188942924683
0.0,0.0,1.0,61800.0,1.0,3.0,2.0,2018-10-31,84900.0,658.44,956.0,39.9322148104903,-75.1890256932364
0.0,0.0,1.0,810200.0,2.0,5.0,3.0,2017-09-01,670000.0,1140.0,2025.0,39.9445895675608,-75.1789798770626
0.0,0.0,1.0,566600.0,2.0,3.0,3.0,2018-06-12,635000.0,1040.0,1878.0,39.9446741946625,-75.179706605495
0.0,1.0,1.0,679500.0,2.0,3.0,0.0,2018-06-15,782000.0,0.0,1535.0,39.9447312325617,-75.1813089075511
0.0,0.0,1.0,294600.0,1.0,3.0,2.0,2018-07-03,360000.0,798.0,1136.0,39.9452332412628,-75.18428301393159
0.0,0.0,1.0,352200.0,2.0,3.0,2.0,2017-02-27,105000.0,616.0,1654.0,39.9341002206095,-75.1716710672705
0.0,0.0,1.0,135600.0,1.0,3.0,2.0,2017-10-20,115000.0,609.0,884.0,39.9339783503256,-75.1714499720594
0.0,0.0,1.0,133600.0,1.0,3.0,2.0,2019-04-24,135000.0,618.57,784.0,39.9337446109335,-75.1714999016019
0.0,0.0,1.0,148000.0,1.0,3.0,2.0,2019-03-14,135000.0,793.0,920.0,39.9328349988069,-75.171883220705
0.0,0.0,1.0,131300.0,1.0,3.0,2.0,2018-11-14,175000.0,700.0,928.0,39.930403517483,-75.1724382526489
0.0,0.0,1.0,134700.0,1.0,3.0,2.0,2018-09-19,135000.0,742.0,1046.0,39.929378509408295,-75.1724008115245
0.0,0.0,1.0,133800.0,1.0,3.0,2.0,2018-07-01,162000.0,742.0,1004.0,39.9293378923893,-75.1726883927776
0.0,0.0,1.0,132700.0,1.0,2.0,2.0,2017-06-29,135000.0,742.0,946.0,39.9289971960585,-75.17276374513091
0.0,0.0,1.0,182400.0,1.0,3.0,2.0,2018-04-13,198500.0,742.0,1042.0,39.92892514468621,-75.17249787585301
0.0,0.0,1.0,133500.0,1.0,3.0,2.0,2019-04-17,150000.0,742.0,984.0,39.9287358435573,-75.1725398528682
0.0,0.0,1.0,185700.0,1.0,3.0,2.0,2019-05-10,153000.0,725.0,1064.0,39.921626913907296,-75.17404564835671
0.0,0.0,1.0,178700.0,1.0,3.0,2.0,2018-10-15,123000.0,672.0,1044.0,39.9206814551447,-75.1742697387396
0.0,0.0,1.0,180300.0,1.0,3.0,2.0,2018-11-09,138000.0,728.0,1046.0,39.9206413862973,-75.1745626814527
0.0,0.0,1.0,58600.0,1.0,3.0,2.0,2018-04-20,58000.0,616.0,756.0,39.9339806975324,-75.18752948915409
0.0,0.0,1.0,58600.0,1.0,3.0,2.0,2017-01-12,60000.0,616.0,756.0,39.9333658637133,-75.187661828488
0.0,0.0,1.0,88800.0,1.0,3.0,2.0,2017-02-07,51000.0,739.5,1048.0,39.928185524354,-75.1818513212703
0.0,0.0,1.0,88200.0,1.0,3.0,2.0,2017-10-06,85000.0,722.16,1020.0,39.927723068611606,-75.181658376717
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2017-06-13,59000.0,722.16,1032.0,39.9277196937013,-75.1819524405703
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2017-12-28,82500.0,722.16,1032.0,39.9276421821096,-75.1819690440707
0.0,0.0,1.0,88200.0,1.0,3.0,2.0,2017-12-14,75000.0,722.16,1020.0,39.927606209679,-75.1816836202085
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2017-07-07,1800000.0,722.16,1032.0,39.9275644984694,-75.181985730103
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2017-07-07,1800000.0,722.16,1032.0,39.9274859030823,-75.1820027817387
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2017-03-24,82000.0,714.0,1024.0,39.9270593975933,-75.1820961229655
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2019-08-13,113500.0,714.0,1024.0,39.9270227538943,-75.18181189364
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2019-03-26,90000.0,714.0,1024.0,39.926982556317,-75.182112403562
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2019-03-12,90000.0,714.0,1024.0,39.926946004117106,-75.18182815470931
0.0,0.0,1.0,88400.0,1.0,3.0,2.0,2019-08-08,103000.0,714.0,1024.0,39.9266027330345,-75.1819009260303
0.0,0.0,1.0,39800.0,1.0,3.0,2.0,2018-10-09,110000.0,714.0,1024.0,39.9265647507954,-75.1819092493597
0.0,0.0,1.0,88700.0,1.0,3.0,2.0,2018-10-30,126000.0,739.5,1024.0,39.9265246728708,-75.18191854127409
0.0,0.0,1.0,88700.0,1.0,3.0,2.0,2018-05-18,125000.0,739.5,1024.0,39.926283843639496,-75.1822612356664
0.0,0.0,1.0,94600.0,1.0,3.0,2.0,2018-10-05,140000.0,712.5,980.0,39.9256638098479,-75.1824096661488
0.0,0.0,1.0,94600.0,1.0,3.0,2.0,2017-05-19,65000.0,712.5,980.0,39.9256247638446,-75.1824182469298
0.0,0.0,1.0,94000.0,1.0,3.0,2.0,2019-05-20,43700.0,712.5,936.0,39.925157394707796,-75.1822010739252
0.0,0.0,1.0,95000.0,1.0,3.0,2.0,2017-03-10,90000.0,658.44,1056.0,39.9243559635315,-75.1823949106981
0.0,0.0,1.0,95100.0,1.0,3.0,2.0,2017-09-26,135000.0,665.52,1056.0,39.9237738191469,-75.18283414336871
0.0,0.0,1.0,202900.0,1.0,3.0,2.0,2017-04-19,235000.0,780.0,1162.0,39.931044136716,-75.15691295833331
0.0,0.0,1.0,305900.0,1.0,3.0,2.0,2017-02-28,285000.0,728.0,1164.0,39.9309286478924,-75.1569384673935
0.0,0.0,1.0,223000.0,1.0,2.0,2.0,2018-03-14,251500.0,600.0,1008.0,39.929817422463714,-75.1571091800469
0.0,0.0,1.0,253700.0,1.0,3.0,2.0,2019-01-02,210000.0,1191.0,1280.0,39.9151435492834,-75.1776700341162
0.0,0.0,1.0,171200.0,1.0,2.0,2.0,2019-05-31,179500.0,663.4300000000002,788.0,39.9289334576164,-75.15755362613659
0.0,0.0,1.0,135900.0,1.0,2.0,2.0,2018-02-14,65000.0,700.0,1040.0,39.9199505468611,-75.1592408027094
